"","X","Property.Name","Price","House.Type","Area.in.sq.ft","No..of.Bedrooms","No..of.Bathrooms","No..of.Receptions","Location","City.County","Postal.Code"
"748",747,"Fitzjohn's Avenue",2937600,"Flat / Apartment",2039,3,3,3,"Hampstead","London","NW3 5JY"
"749",748,"Hampstead Hill Gardens",1184000,"Flat / Apartment",730,1,1,1,"Hampstead","London","NW3 2PL"
"750",749,"Park View Road",2560000,"House",3060,5,5,5,"","London","W5 2JF"
"751",750,"Coval Road",1728000,"House",1767,4,4,4,"","London","SW14 7RW"
"752",751,"The Madison",1815040,"New development",1335,3,3,3," Canary Wharf","London","E14 9YT"
"753",752,"Rusthall Avenue",1664000,"House",1685,4,4,4,"Chiswick","London","W4 1BL"
"754",753,"Paultons Square",6848000,"House",2710,4,4,4,"","London","SW3 5AP"
"755",754,"Melville Road",3072000,"House",2425,5,5,5,"Barnes","London","SW13 9RH"
"756",755,"Burnthwaite Road",1056000,"Flat / Apartment",853,3,3,3," Fulham","London","SW6 5BQ"
"757",756,"Lena Gardens",812800,"Flat / Apartment",634,2,2,2,"Hammersmith","London","W6 7PZ"
"758",757,"Elsham Road",1196800,"Flat / Apartment",944,2,2,2,"","London","W14 8HH"
"759",758,"Garfield Road",895936,"House",883,2,2,2,"Wimbledon","London","SW19 8RZ"
"760",759,"Adela Avenue",979200,"House",1500,4,4,4,"New Malden","Surrey","KT3 6LE"
"761",760,"Hersham Road",1600000,"House",2502,5,5,5,"Walton-on-Thames","Surrey","KT12 1LL"
"762",761,"Boatman's Court",928000,"New development",784,2,2,2," Putney","London","SW15 1PP"
"763",762,"Arundel Gardens",1728000,"Flat / Apartment",628,1,1,1,"Notting Hill","London","W11 2LB"
"764",763,"Mandrake Road",1536000,"House",1746,5,5,5,"","London","SW17 7PX"
"765",764,"Bishops Gate",1241600,"New development",810,2,2,2,"","82-88 Fulham High Street","SW6 3LF"
"766",765,"Bishops Gate",832000,"New development",560,1,1,1,"82-88 Fulham High Street","London","SW6 3LF"
"767",766,"Sloane Court East",960000,"Flat / Apartment",599,1,1,1,"Chelsea","London","SW3 4TQ"
"768",767,"Canalside Square",640000,"New development",566,1,1,1,"","London","N1 7FP"
"769",768,"Matthias Apartments",1056000,"Penthouse",1226,2,2,2,"158 Northchurch Road","London","N1 3FL"
"770",769,"Wardo Avenue",1248000,"Flat / Apartment",1386,3,3,3,"","London","SW6 6RA"
"771",770,"Montpellier Road",448000,"Studio",425,0,0,0,"Ealing","London","W5 2QS"
"772",771,"Ember Lane",1184000,"House",1270,4,4,4,"Esher","Surrey","KT10 8ER"
"773",772,"Philbeach Gardens",1280000,"Flat / Apartment",703,2,2,2,"","London","SW5 9EY"
"774",773,"Collingham Place",1913600,"Flat / Apartment",1122,2,2,2,"","London","SW5 0QF"
"775",774,"Temple Sheen",3008000,"House",2667,5,5,5,"","London","SW14 7RP"
"776",775,"Stapleton Road",864000,"Flat / Apartment",924,2,2,2,"","London","SW17 8AY"
"777",776,"Cecil Mansions",979200,"Flat / Apartment",1025,4,4,4,"Marius Road","London","SW17 7QN"
"778",777,"Yukon Road",1023936,"Flat / Apartment",1320,4,4,4,"","London","SW12 9PY"
"779",778,"28 Narrow Street",3776000,"Penthouse",3451,5,5,5,"Limehouse","London","E14 8DQ"
"780",779,"Myddelton Square",1279936,"Flat / Apartment",792,2,2,2,"Finsbury","London","EC1R 1YB"
"781",780,"Wolseley Gardens",1536000,"House",1710,4,4,4," Chiswick","London","W4 3LP"
"782",781,"Speldhurst Road",1600000,"House",1395,4,4,4,"Chiswick","London","W4 1BU"
"783",782,"Eastbury Grove",1913600,"House",1889,4,4,4,"Chiswick","London","W4 2JY"
"784",783,"Meredyth Road",2496000,"House",2150,4,4,4,"Barnes","London","SW13 0DS"
"785",784,"Television Centre",1004800,"New development",590,1,1,1,"101 Wood Lane","London","W12 7FT"
"786",785,"Montevetro",2880000,"Flat / Apartment",1641,3,3,3," Battersea","London","SW11 3YL"
"787",786,"Howick Place",8256000,"Flat / Apartment",3578,2,2,2," Westminster","London","SW1P 1QN"
"788",787,"Ridgway",959936,"Flat / Apartment",1059,2,2,2," Wimbledon","London","SW19 4QS"
"789",788,"Earlsfield Road",2144000,"House",2565,4,4,4,"","London","SW18 3DN"
"790",789,"Twilley Street",1216000,"House",1360,4,4,4,"","London","SW18 4NU"
"791",790,"The Glass Building",2528000,"Penthouse",2458,2,2,2,"226 Arlington Road","London","NW1 7HY"
"792",791,"Radnor Walk",4544000,"House",1986,5,5,5,"Chelsea","London","SW3 4BP"
"793",792,"Du Cane Court",448000,"Flat / Apartment",539,1,1,1,"Balham High Road","London","SW17 7JA"
"794",793,"Basilica Mews",3040000,"New development",2540,5,5,5,"","Thurleigh Road","SW12 8UF"
"795",794,"Basilica Mews",2976000,"New development",2466,5,5,5,"","Thurleigh Road","SW12 8UF"
"796",795,"Pearson Square",5888000,"New development",1961,3,3,3,"Fitzrovia","London","W1T 3BF"
"797",796,"The Chase",896000,"House",1174,4,4,4,"Loughton","Essex","IG10 4RE"
"798",797,"Piercing Hill",1728000,"House",2312,4,4,4," Epping","Essex","CM16 7JW"
"799",798,"Bramah House",1696000,"New development",824,2,2,2,"9 Gatliff Road","London","SW1W 8DP"
"800",799,"Tedworth Square",2368000,"Flat / Apartment",981,2,2,2,"","London","SW3 4DU"
"801",800,"Upper Park Road",6720000,"House",3782,8,8,8,"Belsize Park","London","NW3 2UP"
"802",801,"Ascott Avenue",1280000,"House",1549,4,4,4,"Ealing","London","W5 5QB"
"803",802,"Carleton Close",1632000,"House",2344,5,5,5,"Esher","Surrey","KT10 8EE"
"804",803,"Redcliffe Square",2560000,"Flat / Apartment",1072,2,2,2,"","London","SW10 9JY"
"805",804,"Palmers Road",1536000,"House",1760,4,4,4,"East Sheen","London","SW14 7NB"
"806",805,"Gaskarth Road",1504000,"House",1668,4,4,4,"","London","SW12 9NL"
"807",806,"Kirkstall Road",1664000,"House",2177,4,4,4,"","London","SW2 4HD"
"808",807,"Woodfield Lane",4480000,"House",4213,7,7,7,"","London","SW16 1LF"
"809",808,"Mayford Road",1024000,"Flat / Apartment",1035,2,2,2,"","London","SW12 8SN"
"810",809,"Merton Avenue",1536000,"House",1615,4,4,4,"Chiswick","London","W4 1TA"
"811",810,"The Orchard",4217600,"House",3230,5,5,5," Chiswick","London","W4 1JZ"
"812",811,"Ravensmede Way",544000,"Flat / Apartment",548,2,2,2,"","London","W4 1TF"
"813",812,"Carlton House",1555200,"New development",1091,3,3,3," Putney","London","SW15 2BS"
"814",813,"Slaidburn Street",2368000,"House",1341,3,3,3,"","London","SW10 0JW"
"815",814,"Rocks Lane",2912000,"House",2652,5,5,5,"Barnes","London","SW13 0DB"
"816",815,"Hampshire Court",512000,"Flat / Apartment",601,2,2,2," Barnes","London","SW13 0ES"
"817",816,"Valiant House",1024000,"Flat / Apartment",1143,3,3,3," Battersea","London","SW11 3LX"
"818",817,"Queenstown Road",896000,"Flat / Apartment",940,2,2,2,"Battersea","London","SW8 3QD"
"819",818,"Aslett Street",960000,"Duplex",1522,4,4,4,"","London","SW18 2BQ"
"820",819,"City Road",640000,"Flat / Apartment",561,1,1,1,"Clerkenwell","London","EC1V 1AG"
"821",820,"Cadogan Lane",5088000,"House",1726,3,3,3,"Knightsbridge","London","SW1X 9DP"
"822",821,"Strawberry Vale",2559993.6,"House",2537,5,5,5,"","Twickenham","TW1 4RX"
"823",822,"Seaton Close",1406720,"House",1554,4,4,4," Putney","London","SW15 3TJ"
"824",823,"Roseland House",691136,"Flat / Apartment",627,2,2,2,"Weimar Street","London","SW15 1SY"
"825",824,"Woodhouse Eaves",1344000,"House",1677,4,4,4,"Northwood","Middlesex","HA6 3NF"
"826",825,"Gayville Road",1088000,"Flat / Apartment",901,2,2,2,"","London","SW11 6JW"
"827",826,"Edgeley Road",767936,"Flat / Apartment",699,2,2,2,"","London","SW4 6HB"
"828",827,"Marmion Road",889600,"Flat / Apartment",987,2,2,2,"","London","SW11 5PA"
"829",828,"Carlton Mansions",1216000,"Flat / Apartment",922,3,3,3," Maida Vale","London","W9 1NS"
"830",829,"Liverpool Road",2559993.6,"House",2073,4,4,4,"","London","N7 8PR"
"831",830,"Matilda Street",467200,"Flat / Apartment",520,1,1,1,"","London","N1 1BG"
"832",831,"Kidderpore Avenue",1536000,"Flat / Apartment",1218,3,3,3,"Hampstead","London","NW3 7SF"
"833",832,"Palace Road",3776000,"House",4389,6,6,6,"East Molesey","Surrey","KT8 9DW"
"834",833,"Sketch Apartments",486400,"Flat / Apartment",550,1,1,1,"42 White Horse Lane","London","E1 3FY"
"835",834,"Alleyn Park",2400000,"House",3435,5,5,5,"","London","SE21 8AA"
"836",835,"The Chase",6528000,"House",4459,7,7,7,"","London","SW4 0NH"
"837",836,"Andersens Wharf",627200,"Flat / Apartment",771,2,2,2," Canary Wharf","London","E14 7DX"
"838",837,"Lonsdale Road",3520000,"House",2612,6,6,6,"Barnes","London","SW13 9ED"
"839",838,"Townshend Court",576000,"Flat / Apartment",460,1,1,1," St John's Wood","London","NW8 7DP"
"840",839,"Weldin Mews",1056000,"House",1224,3,3,3,"Putney","London","SW18 1FT"
"841",840,"Hotham Road",2169600,"House",2205,4,4,4,"Putney","London","SW15 1QJ"
"842",841,"Carlton Drive",544000,"Flat / Apartment",548,1,1,1,"Putney","London","SW15 2BD"
"843",842,"Gloucester Avenue",1600000,"Flat / Apartment",896,2,2,2,"Primrose Hill","London","NW1 8JD"
"844",843,"Northumberland Place",4800000,"House",2239,4,4,4,"","London","W2 5BS"
"845",844,"The Claves",1004800,"New development",1263,2,2,2," Mill Hill","London","NW7 1NY"
"846",845,"City Road",864000,"Flat / Apartment",891,2,2,2,"","London","EC1V 1LA"
"847",846,"Forest Road",595200,"Flat / Apartment",518,1,1,1,"Hackney","London","E8 3BL"
"848",847,"Howitt Road",1728000,"Flat / Apartment",1023,2,2,2,"Belsize Park","London","NW3 4LJ"
"849",848,"Ashington Road",3200000,"House",2458,5,5,5,"Fulham","London","SW6 3QJ"
"850",849,"Winterdown Road",864000,"House",915,2,2,2,"Esher","Surrey","KT10 8LP"
"851",850,"Milton Road",1209600,"House",1112,3,3,3,"East Sheen","London","SW14 8JP"
"852",851,"Dundee Wharf",928000,"Flat / Apartment",861,2,2,2," Limehouse","London","E14 8AY"
"853",852,"Wharfside Point South",416000,"Flat / Apartment",469,1,1,1," Canary Wharf","London","E14 9EX"
"854",853,"Myddelton Square",1024000,"Flat / Apartment",742,2,2,2,"Finsbury","London","EC1R 1YE"
"855",854,"Cloth Court",761600,"New development",476,1,1,1,"Farringdon","London","EC1A 7LS"
"856",855,"Edensor Gardens",544000,"Flat / Apartment",740,2,2,2,"Grove Park","London","W4 2QY"
"857",856,"Lillian Road",1600000,"House",1380,3,3,3,"Barnes","London","SW13 9JF"
"858",857,"Glebe Road",2688000,"House",1959,5,5,5,"Barnes","London","SW13 0DR"
"859",858,"Knowsley Road",1120000,"House",869,2,2,2,"Battersea","London","SW11 5BL"
"860",859,"Poyntz Road",1401600,"House",1238,3,3,3,"Battersea","London","SW11 5BH"
"861",860,"Battersea Church Road",1913600,"Penthouse",1680,4,4,4,"Battersea","London","SW11 3NA"
"862",861,"Hove Court",1145600,"Flat / Apartment",1221,3,3,3," Wimbledon","London","SW19 4AG"
"863",862,"Birdhurst Road",832000,"Flat / Apartment",1087,3,3,3,"","London","SW18 1AR"
"864",863,"Eaton Place",4480000,"Flat / Apartment",1548,3,3,3,"Belgravia","London","SW1X 8AD"
"865",864,"Chevalier House",6080000,"Flat / Apartment",1559,2,2,2," Knightsbridge","London","SW3 1BW"
"866",865,"Macaulay Court",704000,"Flat / Apartment",690,2,2,2,"Macaulay Road","London","SW4 0QU"
"867",866,"The Green",672000,"Flat / Apartment",1299,3,3,3," Buckhurst Hill","Essex","IG9 5NQ"
"868",867,"Chelsea Waterfront",5164800,"New development",2174,4,4,4," Chelsea","London","SW10 0QH"
"869",868,"Melbourne House",1472000,"Flat / Apartment",933,2,2,2,"50 Kensington Place","London","W8 7PW"
"870",869,"Peel Street",3008000,"House",1327,2,2,2,"","London","W8 7PA"
"871",870,"Parkhill",2688000,"Flat / Apartment",2810,3,3,3," Esher","Surrey","KT10 9NP"
"872",871,"Greenways",1280000,"House",2590,4,4,4,"Esher","Surrey","KT10 0QD"
"873",872,"Tower Bridge Road",998400,"Penthouse",1010,2,2,2,"","London","SE1 2AW"
"874",873,"Becmead Avenue",2041600,"House",3260,6,6,6,"","London","SW16 1UQ"
"875",874,"Pavilion Square",1280000,"House",2456,3,3,3,"","London","SW17 7DN"
"876",875,"Blandfield Road",1088000,"House",953,2,2,2,"","London","SW12 8BQ"
"877",876,"Beechmore Road",8e+05,"Flat / Apartment",967,1,1,1,"","London","SW11 4ET"
"878",877,"Trott Street",1664000,"House",1457,4,4,4,"Battersea","London","SW11 3DS"
"879",878,"Maunsel Street",3776000,"House",2349,5,5,5,"Westminster","London","SW1P 2QN"
"880",879,"South Park Road",1273600,"House",1184,3,3,3,"Wimbledon","London","SW19 8SZ"
"881",880,"Wycombe Place",1472000,"House",1705,3,3,3,"","London","SW18 2LT"
"882",881,"Battersea Reach",896000,"Flat / Apartment",814,2,2,2," Battersea","London","SW18 1TA"
"883",882,"Cicada Road",736000,"Flat / Apartment",619,2,2,2,"","London","SW18 2NW"
"884",883,"Southborough Road",2144000,"House",1749,4,4,4,"South Hackney","London","E9 7EE"
"885",884,"Trevor Square",5760000,"Flat / Apartment",1607,2,2,2,"","London","SW7 1EA"
"886",885,"Eaton Square",1049600,"Flat / Apartment",992,1,1,1,"","London","SW1W 9BD"
"887",886,"Northumberland Place",3776000,"House",2400,3,3,3,"Richmond","Surrey","TW10 6TS"
"888",887,"Felsham Road",812800,"Flat / Apartment",774,2,2,2,"Putney","London","SW15 1BB"
"889",888,"Langside Avenue",2553600,"House",3256,5,5,5,"Putney","London","SW15 5QT"
"890",889,"Liverpool Road",2425600,"House",1868,3,3,3,"Islington","London","N1 0RE"
"891",890,"Victoria Avenue",1913600,"House",2566,5,5,5,"Surbiton","Surrey","KT6 5DL"
"892",891,"Arnison Road",2880000,"House",3364,5,5,5,"East Molesey","Surrey","KT8 9JJ"
"893",892,"Upper Richmond Road West",1600000,"House",2032,6,6,6,"Richmond","Surrey","TW10 5DY"
"894",893,"Duckman Tower",1056000,"Flat / Apartment",1026,3,3,3," Canary Wharf","London","E14 9BL"
"895",894,"Clerkenwell Road",1120000,"Flat / Apartment",767,2,2,2,"Clerkenwell","London","EC1M 5PY"
"896",895,"Meredyth Road",2784000,"House",2108,5,5,5,"Barnes","London","SW13 0DS"
"897",896,"Rectory Road",2880000,"House",2332,5,5,5,"Barnes","London","SW13 0DT"
"898",897,"Alexandra Avenue",1248000,"Flat / Apartment",1100,2,2,2,"Battersea","London","SW11 4DZ"
"899",898,"Edna Street",2220800,"House",2144,4,4,4,"Battersea","London","SW11 3DP"
"900",899,"Kingholme House",1760000,"House",1335,3,3,3," Wimbledon","London","SW19 4RD"
"901",900,"Tonsley Road",1657600,"House",1811,4,4,4,"","London","SW18 1BG"
"902",901,"Addison House",1120000,"Flat / Apartment",693,2,2,2,"Grove End Road","London","NW8 9EL"
"903",902,"Jade Terrace",2496000,"House",1873,5,5,5," South Hampstead","London","NW6 4EQ"
"904",903,"Edge Apartments",1273600,"Flat / Apartment",1243,2,2,2," Twickenham","Middlesex","TW1 4RX"
"905",904,"Church Road",4416000,"House",3825,5,5,5," Richmond","Surrey","TW10 5HG"
"906",905,"Elsworthy Terrace",1657600,"Flat / Apartment",1366,2,2,2,"","London","NW3 3DR"
"907",906,"Stanmore Hill",3200000,"House",4222,6,6,6,"Stanmore","Middlesex","HA7 3BY"
"908",907,"Bickenhall Mansions",2752000,"Flat / Apartment",1672,3,3,3," Marylebone","London","W1U 6BT"
"909",908,"Goodwood Court",1024000,"Flat / Apartment",548,2,2,2," Marylebone","London","W1W 5DZ"
"910",909,"Portland Chambers",2240000,"Flat / Apartment",883,2,2,2," Fitzrovia","London","W1W 6RP"
"911",910,"Monkhams Avenue",1600000,"House",1901,4,4,4,"Woodford Green","Essex","IG8 0HB"
"912",911,"Bowden House",1507840,"New development",847,2,2,2," Battersea","London","SW11 4FA"
"913",912,"One Bishopsgate Plaza",1644800,"New development",652,1,1,1,"","City Of London","EC2M 4JY"
"914",913,"Aubrey Road",10176000,"House",3443,5,5,5,"","London","W8 7JJ"
"915",914,"Wynnstay Gardens",2752000,"Flat / Apartment",1806,4,4,4,"","London","W8 6UP"
"916",915,"Battledean Road",2425600,"House",2132,5,5,5,"Highbury","London","N5 1UZ"
"917",916,"Galleria",1536000,"Flat / Apartment",1355,2,2,2,"29 Laycock Street","London","N1 1UR"
"918",917,"Independent Place",928000,"House",804,1,1,1,"Hackney","London","E8 2HE"
"919",918,"Wildwood Grove",1408000,"House",1069,2,2,2,"Hampstead","London","NW3 7HU"
"920",919,"Gifford Gardens",1280000,"New development",2258,4,4,4,"","London","W7 3AS"
"921",920,"Ternary Place",768000,"New development",870,1,1,1," Ealing","London","W5 3HJ"
"922",921,"Gloucester Road",889600,"Flat / Apartment",537,1,1,1,"","London","SW7 4AU"
"923",922,"Gosberton Road",1856000,"House",1921,4,4,4,"","London","SW12 8LF"
"924",923,"Foxbourne Road",895936,"Flat / Apartment",902,2,2,2,"","London","SW17 8EN"
"925",924,"Ravenslea Road",1657600,"House",1674,4,4,4,"Balham","London","SW12 8RT"
"926",925,"Cranley Gardens",3328000,"Flat / Apartment",1500,3,3,3,"","London","SW7 3DD"
"927",926,"Crooked Billet",768000,"House",570,2,2,2,"Wimbledon","London","SW19 4RQ"
"928",927,"Alverstone Avenue",1145600,"House",900,3,3,3,"Wimbledon","London","SW19 8BD"
"929",928,"Leopold Road",1484800,"Penthouse",1112,2,2,2,"Wimbledon","London","SW19 7JQ"
"930",929,"Bloomsbury Place",640000,"Flat / Apartment",622,2,2,2,"","London","SW18 2JB"
"931",930,"Chatham Place",8e+05,"Flat / Apartment",797,2,2,2,"","London","E9 6FJ"
"932",931,"Mortimer Court",576000,"Flat / Apartment",377,1,1,1,"Abbey Road","London","NW8 9AD"
"933",932,"Lebanon Park",3520000,"House",2999,7,7,7,"Twickenham","Middlesex","TW1 3DG"
"934",933,"St. Quintin Avenue",1151936,"Flat / Apartment",1115,3,3,3,"","London","W10 6PB"
"935",934,"Pembridge Square",1600000,"Flat / Apartment",649,1,1,1,"","London","W2 4EH"
"936",935,"Holland Park Avenue",2112000,"Flat / Apartment",1055,2,2,2,"","London","W11 4UE"
"937",936,"Stanley Crescent",4416000,"Penthouse",1575,2,2,2,"Notting Hill","London","W11 2NA"
"938",937,"Stanley Crescent",3808000,"Flat / Apartment",1657,3,3,3,"","London","W11 2NA"
"939",938,"Wimpole Mews",3200000,"House",1266,3,3,3,"Marylebone","London","W1G 8PE"
"940",939,"Cadogan Gardens",2752000,"Flat / Apartment",1064,2,2,2,"Sloane Square","London","SW3 2RE"
"941",940,"Park Mansions",2553600,"Flat / Apartment",1053,2,2,2,"Knightsbridge","London","SW1X 7QS"
"942",941,"Pont Street",2176000,"Flat / Apartment",1045,2,2,2,"","London","SW1X 0AD"
"943",942,"Empire House",3328000,"Flat / Apartment",1722,3,3,3,"Thurloe Place","London","SW7 2RU"
"944",943,"Cadogan Gardens",2144000,"Flat / Apartment",905,2,2,2,"","London","SW3 2TH"
"945",944,"Chester Street",1913600,"Flat / Apartment",776,1,1,1,"","London","SW1X 7BB"
"946",945,"Rutland Gate",3705600,"Flat / Apartment",1398,2,2,2,"","London","SW7 1PJ"
"947",946,"Rutland Gate",1856000,"Flat / Apartment",675,1,1,1,"","London","SW7 1BB"
"948",947,"Hirst Court",1017600,"Flat / Apartment",691,1,1,1,"20 Gatliff Road","London","SW1W 8QD"
"949",948,"Holland Park Avenue",2425600,"Flat / Apartment",1522,2,2,2,"","London","W11 3QU"
"950",949,"Imperial Court",2368000,"Flat / Apartment",1480,3,3,3,"4-10 Lexham Gardens","London","W8 5JH"
"951",950,"Campden Hill Gate",4480000,"Flat / Apartment",1804,4,4,4,"Duchess Of Bedford's Walk","London","W8 7QJ"
"952",951,"Vicarage Court",576000,"Studio",410,0,0,0,"Vicarage Gate","London","W8 4HF"
"953",952,"Cornwall Mansions",3705600,"Flat / Apartment",1850,3,3,3,"33 Kensington Court","London","W8 5BG"
"954",953,"Campden House",1600000,"Flat / Apartment",1317,3,3,3,"29 Sheffield Terrace","London","W8 7ND"
"955",954,"Melbury Court",5440000,"Flat / Apartment",2713,6,6,6,"Kensington High Street","London","W8 6NH"
"956",955,"Lexham Gardens",1664000,"Flat / Apartment",1162,2,2,2,"","London","W8 5JR"
"957",956,"Thackeray House",1504000,"Flat / Apartment",793,2,2,2,"Thackeray Street","London","W8 5HA"
"958",957,"Kensington Church Street",5696000,"Penthouse",1894,3,3,3,"","London","W8 7LP"
"959",958,"Winchester Court",1984000,"Flat / Apartment",923,2,2,2,"Vicarage Gate","London","W8 4AF"
"960",959,"Hornton Street",1664000,"Flat / Apartment",914,2,2,2,"","London","W8 7NP"
"961",960,"Vincent Close",1984000,"House",2602,4,4,4,"Esher","Surrey","KT10 8AW"
"962",961,"Summer Road",1696000,"House",2410,5,5,5,"Thames Ditton","Surrey","KT7 0QP"
"963",962,"Sheen Gate Gardens",1856000,"House",1899,4,4,4,"East Sheen","London","SW14 7PD"
"964",963,"Ranmere Street",1504000,"House",1503,4,4,4,"","London","SW12 9QQ"
"965",964,"Carlton Drive",1017600,"New development",823,2,2,2,"","London","SW15 2BS"
"966",965,"Drayton Gardens",6080000,"House",3104,6,6,6,"Chelsea","London","SW10 9RY"
"967",966,"Kings Court Mansions",1023936,"Flat / Apartment",890,2,2,2,"721 Fulham Road","London","SW6 5PB"
"968",967,"Lower Mall",832000,"Flat / Apartment",743,2,2,2,"","London","W6 9DJ"
"969",968,"Burns Road",1088000,"House",1167,3,3,3,"Battersea","London","SW11 5GX"
"970",969,"Candlemakers Apartments",716800,"Flat / Apartment",779,1,1,1," Battersea","London","SW11 3RS"
"971",970,"Tyneham Road",1164800,"House",960,3,3,3,"Battersea","London","SW11 5XP"
"972",971,"Emerson Court",511936,"Flat / Apartment",621,1,1,1," Wimbledon","London","SW19 7PQ"
"973",972,"Wimbledon Hill Road",595200,"Flat / Apartment",592,1,1,1,"Wimbledon","London","SW19 7QU"
"974",973,"Swanage Road",1964800,"House",2352,5,5,5,"","London","SW18 2DY"
"975",974,"Lammas Road",928000,"House",1344,5,5,5,"Richmond","Surrey","TW10 7YD"
"976",975,"Kenilworth Court",1657600,"Flat / Apartment",1702,4,4,4," Putney","London","SW15 1HA"
"977",976,"Oakhill Road",1056000,"Flat / Apartment",947,2,2,2,"Putney","London","SW15 2FJ"
"978",977,"Gloucester Avenue",1529600,"Flat / Apartment",879,2,2,2,"Primrose Hill","London","NW1 8JA"
"979",978,"Regents Park Road",1600000,"Flat / Apartment",1061,2,2,2,"Regent's Park","London","NW1 7SY"
"980",979,"Harley Road",1728000,"Flat / Apartment",1225,2,2,2,"","London","NW3 3BN"
"981",980,"St Marys Avenue",1568000,"House",2289,5,5,5,"Northwood","Middlesex","HA6 3AY"
"982",981,"Saxon Court",748800,"Flat / Apartment",1032,2,2,2," Northwood","Middlesex","HA6 3FG"
"983",982,"Bromells Road",704000,"New development",542,1,1,1,"","London","SW4 0BG"
"984",983,"Paramount Court",1260800,"Flat / Apartment",677,2,2,2," Bloomsbury","London","WC1E 6JP"
"985",984,"Grosvenor Avenue",678400,"Flat / Apartment",482,1,1,1,"Highbury","London","N5 2NR"
"986",985,"Alwyne Road",5376000,"House",2968,3,3,3,"Islington","London","N1 2HN"
"987",986,"Lawford Road",1760000,"House",1340,3,3,3,"Islington","London","N1 5BJ"
"988",987,"Amhurst Road",736000,"Flat / Apartment",707,2,2,2,"Hackney","London","E8 2AG"
"989",988,"Highfields Grove",3776000,"House",2740,4,4,4,"Highgate","London","N6 6HN"
"990",989,"Basuto Road",2496000,"House",1795,3,3,3," Parsons Green","Fulham","SW6 4BL"
"991",990,"Napier Avenue",4160000,"House",3156,5,5,5,"Fulham","London","SW6 3PT"
"992",991,"Ember Lane",1600000,"House",1980,4,4,4,"Esher","Surrey","KT10 8EQ"
"993",992,"Sandown House",1248000,"Penthouse",1634,3,3,3," Esher","Surrey","KT10 9SL"
"994",993,"Pine Walk",1408000,"House",1716,4,4,4,"Surbiton","Surrey","KT5 8NJ"
"995",994,"Hill House Road",1152000,"House",1989,3,3,3,"","London","SW16 2AQ"
"996",995,"Wards Wharf Approach",384000,"Flat / Apartment",517,1,1,1,"Newham","London","E16 2ER"
"997",996,"Junction House",652800,"New development",577,1,1,1," Battersea","London","SW11 2NU"
"998",997,"Foskett Road",448000,"Flat / Apartment",302,1,1,1,"Fulham","London","SW6 3LY"
"999",998,"Sinclair Gardens",1120000,"Flat / Apartment",981,2,2,2,"Brook Green","London","W14 0AU"
"1000",999,"Kingston Vale",1401600,"House",2642,3,3,3,"Kingston","London","SW15 3RN"
"1001",1000,"Eversley Park",4288000,"House",3256,5,5,5,"Wimbledon","London","SW19 4UU"
"1002",1001,"Ridgmount Road",1728000,"House",1723,4,4,4,"","London","SW18 2DA"
"1003",1002,"Regents Park Road",1216000,"Flat / Apartment",817,2,2,2,"","London","NW1 7TL"
"1004",1003,"Green Lane",1632000,"House",2711,5,5,5,"Oxhey","Hertfordshire","WD19 4NJ"
"1005",1004,"Manchuria Road",1248000,"Flat / Apartment",1013,2,2,2,"","London","SW11 6AE"
"1006",1005,"Wellington Square",5056000,"House",2530,6,6,6,"Chelsea","London","SW3 4NW"
"1007",1006,"The Gatehouse",608000,"Flat / Apartment",650,2,2,2,"1 Tiltman Place","London","N7 7EE"
"1008",1007,"Tollington Way",736000,"New development",840,2,2,2," London","N7 6QX","N7 6RG"
"1009",1008,"The Stack",767936,"New development",930,3,3,3,"Homerton","London","E9 6HP"
"1010",1009,"Marcon Place",748800,"Flat / Apartment",881,2,2,2,"Hackney","London","E8 1LP"
"1011",1010,"Lyndale Avenue",2240000,"House",2223,4,4,4,"Childs Hill","London","NW2 2QA"
"1012",1011,"The Butts",3776000,"House",4034,6,6,6,"Brentford","Middlesex","TW8 8BJ"
"1013",1012,"St. Dunstans Avenue",1216000,"House",1258,4,4,4,"Acton","London","W3 6QH"
"1014",1013,"South Bank Tower",1164800,"Flat / Apartment",683,1,1,1," South Bank","London","SE1 9EY"
"1015",1014,"Criffel Avenue",2367936,"House",2372,5,5,5,"Streatham","London","SW2 4AY"
"1016",1015,"Ranelagh Mansions",896000,"Flat / Apartment",758,2,2,2,"New Kings Road","London","SW6 4RH"
"1017",1016,"Bradmore Park Road",1632000,"House",1419,3,3,3,"","London","W6 0DT"
"1018",1017,"South Park Road",544000,"Flat / Apartment",549,1,1,1,"Wimbledon","London","SW19 8TA"
"1019",1018,"Rydens Road",1785600,"House",3178,4,4,4,"Walton-On-Thames","Surrey","KT12 3AA"
"1020",1019,"Grove End Road",3840000,"House",2432,4,4,4,"St John's Wood","London","NW8 9LY"
"1021",1020,"Richmond Hill",3808000,"House",3352,6,6,6,"Richmond","Surrey","TW10 6QX"
"1022",1021,"Deodar Road",992000,"Flat / Apartment",990,2,2,2,"Putney","London","SW15 2NJ"
"1023",1022,"Rectory Grove",6336000,"House",4482,7,7,7,"Clapham","London","SW4 0DZ"
"1024",1023,"Muncaster Road",2368000,"House",2088,4,4,4,"","London","SW11 6NT"
"1025",1024,"Bishops Gate",830720,"New development",560,1,1,1,"82-88 Fulham High Street","London","SW6 3LF"
"1026",1025,"Stonefield Street",639936,"Flat / Apartment",386,1,1,1,"Islington","London","N1 0HW"
